Train Loss: tensor(4.1021, device='cuda:0')
Train Loss: tensor(4.0522, device='cuda:0')
Train Loss: tensor(4.1105, device='cuda:0')
Train Loss: tensor(3.8621, device='cuda:0')
Train Loss: tensor(3.7274, device='cuda:0')
Train Loss: tensor(3.9765, device='cuda:0')
Train Loss: tensor(3.3566, device='cuda:0')
Train Loss: tensor(3.9964, device='cuda:0')
Train Loss: tensor(4.6237, device='cuda:0')
Train Loss: tensor(4.9748, device='cuda:0')
Train Loss: tensor(4.8154, device='cuda:0')
Train Loss: tensor(4.3069, device='cuda:0')
Train Loss: tensor(4.7071, device='cuda:0')
Train Loss: tensor(4.3109, device='cuda:0')
Train Loss: tensor(4.5031, device='cuda:0')
Train Loss: tensor(3.8658, device='cuda:0')
Train Loss: tensor(4.3301, device='cuda:0')
Train Loss: tensor(3.7158, device='cuda:0')
Train Loss: tensor(4.3602, device='cuda:0')
Train Loss: tensor(4.1653, device='cuda:0')
Train Loss: tensor(3.8910, device='cuda:0')
Train Loss: tensor(4.5720, device='cuda:0')
Train Loss: tensor(4.4770, device='cuda:0')
Train Loss: tensor(3.5858, device='cuda:0')
Train Loss: tensor(3.2933, device='cuda:0')
Train Loss: tensor(3.5573, device='cuda:0')
Train Loss: tensor(4.2796, device='cuda:0')
train Loss: 4.1616 Prec: 0.3742EPOCH complete in 16m 46sval Loss: 6.3152 Prec: 0.3023EPOCH complete in 17m 39sEpoch 4/19----------Train Loss: tensor(2.9311, device='cuda:0')
Train Loss: tensor(3.3986, device='cuda:0')
Train Loss: tensor(4.2871, device='cuda:0')
Train Loss: tensor(3.4232, device='cuda:0')
Train Loss: tensor(3.6038, device='cuda:0')
Train Loss: tensor(4.0421, device='cuda:0')
Train Loss: tensor(4.0653, device='cuda:0')
Train Loss: tensor(4.3476, device='cuda:0')
Train Loss: tensor(3.9220, device='cuda:0')
Train Loss: tensor(3.9321, device='cuda:0')
Train Loss: tensor(3.8055, device='cuda:0')
Train Loss: tensor(4.5217, device='cuda:0')
Train Loss: tensor(4.2249, device='cuda:0')
Train Loss: tensor(4.1999, device='cuda:0')
Train Loss: tensor(3.9592, device='cuda:0')
Train Loss: tensor(4.3171, device='cuda:0')
Train Loss: tensor(4.2075, device='cuda:0')
Train Loss: tensor(4.1303, device='cuda:0')
Train Loss: tensor(4.0344, device='cuda:0')
Train Loss: tensor(4.1519, device='cuda:0')
Train Loss: tensor(4.3670, device='cuda:0')
Train Loss: tensor(3.5614, device='cuda:0')
Train Loss: tensor(4.0217, device='cuda:0')
Train Loss: tensor(3.4311, device='cuda:0')
Train Loss: tensor(4.0986, device='cuda:0')
Train Loss: tensor(4.0575, device='cuda:0')
Train Loss: tensor(4.0393, device='cuda:0')
Train Loss: tensor(3.6116, device='cuda:0')
Train Loss: tensor(3.8364, device='cuda:0')
Train Loss: tensor(3.6880, device='cuda:0')
Train Loss: tensor(3.5089, device='cuda:0')
Train Loss: tensor(3.9225, device='cuda:0')
Train Loss: tensor(3.1063, device='cuda:0')
Train Loss: tensor(3.9671, device='cuda:0')
Train Loss: tensor(4.0881, device='cuda:0')
Train Loss: tensor(4.7032, device='cuda:0')
Train Loss: tensor(4.4674, device='cuda:0')
Train Loss: tensor(3.8014, device='cuda:0')
Train Loss: tensor(4.4855, device='cuda:0')
Train Loss: tensor(4.0078, device='cuda:0')
Train Loss: tensor(4.2212, device='cuda:0')
Train Loss: tensor(3.5090, device='cuda:0')
Train Loss: tensor(3.5255, device='cuda:0')
Train Loss: tensor(3.3533, device='cuda:0')
Train Loss: tensor(4.0748, device='cuda:0')
Train Loss: tensor(3.6847, device='cuda:0')
Train Loss: tensor(3.3415, device='cuda:0')
Train Loss: tensor(4.3636, device='cuda:0')
Train Loss: tensor(4.2062, device='cuda:0')
Train Loss: tensor(3.4391, device='cuda:0')
Train Loss: tensor(2.9108, device='cuda:0')
Train Loss: tensor(3.2103, device='cuda:0')
Train Loss: tensor(2.8675, device='cuda:0')
train Loss: 3.8676 Prec: 0.5128EPOCH complete in 20m 59sval Loss: 6.6485 Prec: 0.2067EPOCH complete in 21m 51sEpoch 5/19----------Train Loss: tensor(2.6823, device='cuda:0')
Train Loss: tensor(3.0244, device='cuda:0')
Train Loss: tensor(3.9966, device='cuda:0')
Train Loss: tensor(3.1853, device='cuda:0')
Train Loss: tensor(3.4006, device='cuda:0')
Train Loss: tensor(3.7687, device='cuda:0')
Train Loss: tensor(3.8911, device='cuda:0')
Train Loss: tensor(3.7551, device='cuda:0')
Train Loss: tensor(3.7238, device='cuda:0')
Train Loss: tensor(3.8310, device='cuda:0')
Train Loss: tensor(3.7163, device='cuda:0')
Train Loss: tensor(4.2263, device='cuda:0')
Train Loss: tensor(4.1069, device='cuda:0')
Train Loss: tensor(3.9382, device='cuda:0')
Train Loss: tensor(3.7133, device='cuda:0')
Train Loss: tensor(4.1274, device='cuda:0')
Train Loss: tensor(3.8894, device='cuda:0')
