Train Loss: tensor(4.7481, device='cuda:0')
Train Loss: tensor(5.3803, device='cuda:0')
Train Loss: tensor(5.3742, device='cuda:0')
Train Loss: tensor(5.5059, device='cuda:0')
Train Loss: tensor(5.2294, device='cuda:0')
Train Loss: tensor(5.2176, device='cuda:0')
Train Loss: tensor(5.1099, device='cuda:0')
Train Loss: tensor(5.7491, device='cuda:0')
Train Loss: tensor(5.6458, device='cuda:0')
Train Loss: tensor(5.5254, device='cuda:0')
Train Loss: tensor(5.2151, device='cuda:0')
Train Loss: tensor(5.7465, device='cuda:0')
Train Loss: tensor(5.4735, device='cuda:0')
Train Loss: tensor(5.3043, device='cuda:0')
Train Loss: tensor(5.4315, device='cuda:0')
Train Loss: tensor(5.7727, device='cuda:0')
Train Loss: tensor(5.8523, device='cuda:0')
Train Loss: tensor(4.8687, device='cuda:0')
Train Loss: tensor(5.6491, device='cuda:0')
Train Loss: tensor(5.1094, device='cuda:0')
Train Loss: tensor(5.4898, device='cuda:0')
Train Loss: tensor(5.4821, device='cuda:0')
Train Loss: tensor(5.4065, device='cuda:0')
Train Loss: tensor(5.2295, device='cuda:0')
Train Loss: tensor(5.1083, device='cuda:0')
Train Loss: tensor(5.1140, device='cuda:0')
Train Loss: tensor(5.0144, device='cuda:0')
Train Loss: tensor(5.2389, device='cuda:0')
Train Loss: tensor(4.5330, device='cuda:0')
Train Loss: tensor(5.0478, device='cuda:0')
Train Loss: tensor(5.5652, device='cuda:0')
Train Loss: tensor(6.4706, device='cuda:0')
Train Loss: tensor(6.0062, device='cuda:0')
Train Loss: tensor(5.0762, device='cuda:0')
Train Loss: tensor(6.0307, device='cuda:0')
Train Loss: tensor(5.5963, device='cuda:0')
Train Loss: tensor(5.6218, device='cuda:0')
Train Loss: tensor(4.8377, device='cuda:0')
Train Loss: tensor(5.0144, device='cuda:0')
Train Loss: tensor(4.7783, device='cuda:0')
Train Loss: tensor(5.3114, device='cuda:0')
Train Loss: tensor(5.3236, device='cuda:0')
Train Loss: tensor(4.8833, device='cuda:0')
Train Loss: tensor(5.8537, device='cuda:0')
Train Loss: tensor(5.7789, device='cuda:0')
Train Loss: tensor(4.7312, device='cuda:0')
Train Loss: tensor(4.3210, device='cuda:0')
Train Loss: tensor(4.4918, device='cuda:0')
Train Loss: tensor(3.3943, device='cuda:0')
train Loss: 5.2389 Prec: 0.3876EPOCH complete in 34m 36sval Loss: 5.7634 Prec: 0.2727EPOCH complete in 35m 29sEpoch 8/19----------Train Loss: tensor(4.0046, device='cuda:0')
Train Loss: tensor(4.4800, device='cuda:0')
Train Loss: tensor(5.4113, device='cuda:0')
Train Loss: tensor(4.5931, device='cuda:0')
Train Loss: tensor(4.6162, device='cuda:0')
Train Loss: tensor(5.2274, device='cuda:0')
Train Loss: tensor(5.2361, device='cuda:0')
Train Loss: tensor(5.3718, device='cuda:0')
Train Loss: tensor(5.0826, device='cuda:0')
Train Loss: tensor(5.0937, device='cuda:0')
Train Loss: tensor(4.9786, device='cuda:0')
Train Loss: tensor(5.5979, device='cuda:0')
Train Loss: tensor(5.4975, device='cuda:0')
Train Loss: tensor(5.3923, device='cuda:0')
Train Loss: tensor(5.0807, device='cuda:0')
Train Loss: tensor(5.5979, device='cuda:0')
Train Loss: tensor(5.3360, device='cuda:0')
Train Loss: tensor(5.1602, device='cuda:0')
Train Loss: tensor(5.2866, device='cuda:0')
Train Loss: tensor(5.6198, device='cuda:0')
Train Loss: tensor(5.7103, device='cuda:0')
Train Loss: tensor(4.7393, device='cuda:0')
Train Loss: tensor(5.4981, device='cuda:0')
Train Loss: tensor(4.9696, device='cuda:0')
Train Loss: tensor(5.3572, device='cuda:0')
Train Loss: tensor(5.3363, device='cuda:0')
Train Loss: tensor(5.2724, device='cuda:0')
Train Loss: tensor(5.0899, device='cuda:0')
Train Loss: tensor(4.9782, device='cuda:0')
Train Loss: tensor(4.9710, device='cuda:0')
Train Loss: tensor(4.8802, device='cuda:0')
Train Loss: tensor(5.0946, device='cuda:0')
Train Loss: tensor(4.4097, device='cuda:0')
Train Loss: tensor(4.9149, device='cuda:0')
Train Loss: tensor(5.4221, device='cuda:0')
Train Loss: tensor(6.3048, device='cuda:0')
Train Loss: tensor(5.8548, device='cuda:0')
Train Loss: tensor(4.9396, device='cuda:0')
Train Loss: tensor(5.8891, device='cuda:0')
Train Loss: tensor(5.4545, device='cuda:0')
Train Loss: tensor(5.4722, device='cuda:0')
Train Loss: tensor(4.7151, device='cuda:0')
Train Loss: tensor(4.8647, device='cuda:0')
Train Loss: tensor(4.6550, device='cuda:0')
Train Loss: tensor(5.1707, device='cuda:0')
Train Loss: tensor(5.1928, device='cuda:0')
Train Loss: tensor(4.7411, device='cuda:0')
Train Loss: tensor(5.7056, device='cuda:0')
Train Loss: tensor(5.6385, device='cuda:0')
Train Loss: tensor(4.6036, device='cuda:0')
Train Loss: tensor(4.2093, device='cuda:0')
Train Loss: tensor(4.3734, device='cuda:0')
Train Loss: tensor(3.2371, device='cuda:0')
train Loss: 5.1006 Prec: 0.4849EPOCH complete in 38m 53sval Loss: 5.7363 Prec: 0.2896EPOCH complete in 39m 45sEpoch 9/19----------Train Loss: tensor(3.9097, device='cuda:0')
Train Loss: tensor(4.3575, device='cuda:0')
Train Loss: tensor(5.2817, device='cuda:0')
Train Loss: tensor(4.4650, device='cuda:0')
Train Loss: tensor(4.4933, device='cuda:0')
Train Loss: tensor(5.0855, device='cuda:0')
Train Loss: tensor(5.1074, device='cuda:0')
Train Loss: tensor(5.2470, device='cuda:0')
Train Loss: tensor(4.9468, device='cuda:0')
Train Loss: tensor(4.9762, device='cuda:0')
Train Loss: tensor(4.8577, device='cuda:0')
Train Loss: tensor(5.4563, device='cuda:0')
Train Loss: tensor(5.3610, device='cuda:0')
Train Loss: tensor(5.2664, device='cuda:0')
Train Loss: tensor(4.9573, device='cuda:0')
Train Loss: tensor(5.4624, device='cuda:0')
Train Loss: tensor(5.2074, device='cuda:0')
Train Loss: tensor(5.0248, device='cuda:0')
Train Loss: tensor(5.1514, device='cuda:0')
Train Loss: tensor(5.4758, device='cuda:0')
Train Loss: tensor(5.5769, device='cuda:0')
Train Loss: tensor(4.6203, device='cuda:0')
Train Loss: tensor(5.3580, device='cuda:0')
Train Loss: tensor(4.8389, device='cuda:0')
Train Loss: tensor(5.2315, device='cuda:0')
Train Loss: tensor(5.2016, device='cuda:0')
Train Loss: tensor(5.1469, device='cuda:0')
Train Loss: tensor(4.9565, device='cuda:0')
Train Loss: tensor(4.8579, device='cuda:0')
Train Loss: tensor(4.8363, device='cuda:0')
Train Loss: tensor(4.7545, device='cuda:0')
Train Loss: tensor(4.9605, device='cuda:0')
Train Loss: tensor(4.2937, device='cuda:0')
Train Loss: tensor(4.7894, device='cuda:0')
Train Loss: tensor(5.2882, device='cuda:0')
Train Loss: tensor(6.1474, device='cuda:0')
Train Loss: tensor(5.7100, device='cuda:0')
Train Loss: tensor(4.8118, device='cuda:0')
Train Loss: tensor(5.7553, device='cuda:0')
Train Loss: tensor(5.3216, device='cuda:0')
Train Loss: tensor(5.3333, device='cuda:0')
Train Loss: tensor(4.6001, device='cuda:0')
Train Loss: tensor(4.7264, device='cuda:0')
Train Loss: tensor(4.5389, device='cuda:0')
Train Loss: tensor(5.0389, device='cuda:0')
Train Loss: tensor(5.0692, device='cuda:0')
Train Loss: tensor(4.6096, device='cuda:0')
Train Loss: tensor(5.5692, device='cuda:0')
Train Loss: tensor(5.5046, device='cuda:0')
Train Loss: tensor(4.4830, device='cuda:0')
Train Loss: tensor(4.1009, device='cuda:0')
Train Loss: tensor(4.2607, device='cuda:0')
Train Loss: tensor(3.0968, device='cuda:0')
train Loss: 4.9713 Prec: 0.4857EPOCH complete in 43m 10sval Loss: 5.7174 Prec: 0.2896EPOCH complete in 44m 2sEpoch 10/19----------Train Loss: tensor(3.8175, device='cuda:0')
Train Loss: tensor(4.2435, device='cuda:0')
Train Loss: tensor(5.1602, device='cuda:0')
Train Loss: tensor(4.3470, device='cuda:0')
Train Loss: tensor(4.3771, device='cuda:0')
Train Loss: tensor(4.9517, device='cuda:0')
Train Loss: tensor(4.9845, device='cuda:0')
Train Loss: tensor(5.1283, device='cuda:0')
Train Loss: tensor(4.8198, device='cuda:0')
Train Loss: tensor(4.8638, device='cuda:0')
Train Loss: tensor(4.7435, device='cuda:0')
Train Loss: tensor(5.3227, device='cuda:0')
Train Loss: tensor(5.2326, device='cuda:0')
Train Loss: tensor(5.1463, device='cuda:0')
Train Loss: tensor(4.8415, device='cuda:0')
Train Loss: tensor(5.3357, device='cuda:0')
Train Loss: tensor(5.0841, device='cuda:0')
